fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-03-09,13651,2021,11999,1779,0.14804776206871292,0.14826235519626635
2021-03-10,12275,1759,10422,1553,0.14329938900203665,0.14901170600652466
2021-03-11,12096,1685,10342,1492,0.13930224867724866,0.1442660994005028
2021-03-12,12153,1626,10396,1447,0.13379412490743026,0.13918814928818776
2021-03-13,3900,574,3325,508,0.14717948717948717,0.15278195488721805
2021-03-14,2096,319,1790,276,0.15219465648854963,0.15418994413407822
2021-03-15,2638,354,2299,318,0.13419257012888552,0.13832100913440626
2021-03-16,13735,2014,11852,1770,0.14663269020749908,0.14934188322645967
2021-03-17,13036,1684,11245,1475,0.12918073028536362,0.13116940862605603
2021-03-18,12105,1481,10419,1321,0.12234613795952086,0.1267875995776946
2021-03-19,10900,1235,9318,1094,0.11330275229357799,0.11740716892036918
2021-03-20,3418,507,2897,408,0.1483323581041545,0.14083534691059718
2021-03-21,2393,319,2108,269,0.13330547430004178,0.12760910815939278
2021-03-22,14102,1680,12089,1474,0.11913203800879307,0.12192902638762511
2021-03-23,11896,1536,10134,1382,0.12911903160726296,0.13637260706532464
2021-03-24,12309,1296,10389,1126,0.10528881306361199,0.1083838675522187
2021-03-25,10929,1150,9399,1029,0.105224631713789,0.10947973188637089
2021-03-26,9150,1087,7748,977,0.11879781420765027,0.126097057305111
2021-03-27,3799,438,3213,375,0.11529349828902342,0.11671335200746966
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11216,1363,9674,1160,0.12152282453637661,0.11990903452553235
2021-03-30,11568,1238,9954,1086,0.10701936376210235,0.10910186859553948
2021-03-31,9628,1183,8340,1033,0.1228707935189032,0.12386091127098321
2021-04-01,8664,700,7400,604,0.08079409048938135,0.08162162162162162
2021-04-02,5832,560,4926,480,0.09602194787379972,0.09744214372716199
2021-04-03,1504,217,1335,191,0.14428191489361702,0.14307116104868914
2021-04-04,1534,240,1320,189,0.15645371577574968,0.1431818181818182
2021-04-05,10078,1198,8586,1040,0.1188727922206787,0.121127416724901
2021-04-06,9677,1203,8306,1052,0.12431538700010333,0.12665542980977607
2021-04-07,10151,1160,8739,1031,0.11427445571864842,0.1179768852271427
2021-04-08,10930,1040,9306,917,0.09515096065873742,0.09853857726198152
2021-04-09,9910,1032,8379,901,0.1041372351160444,0.10753073159088197
2021-04-10,3660,458,3154,388,0.1251366120218579,0.12301838934686113
2021-04-11,2834,243,2357,192,0.08574453069865914,0.08145948239287229
2021-04-12,11454,1204,9523,1047,0.10511611664047495,0.10994434526934789
2021-04-13,12885,1176,10860,1008,0.09126891734575088,0.09281767955801105
2021-04-14,10005,831,8638,754,0.0830584707646177,0.08728872424172263
2021-04-15,10480,881,9007,786,0.08406488549618321,0.08726546019762407
2021-04-16,9435,883,8202,772,0.09358770535241123,0.09412338454035601
2021-04-17,3593,320,3167,276,0.08906206512663513,0.08714872118724344
2021-04-18,2295,187,1964,167,0.08148148148148149,0.08503054989816701
2021-04-19,11305,953,9811,844,0.08429898275099514,0.08602588930791968
2021-04-20,11860,1083,10327,940,0.09131534569983137,0.09102353055098286
2021-04-21,11083,772,9534,676,0.06965623026256429,0.07090413257814139
2021-04-22,10528,961,9228,856,0.09128039513677812,0.09276116168183789
2021-04-23,10110,690,8762,605,0.06824925816023739,0.0690481625199726
2021-04-24,3193,257,2765,207,0.08048856874412778,0.07486437613019892
2021-04-25,2675,163,2331,140,0.06093457943925234,0.06006006006006006
2021-04-26,9646,811,8283,705,0.08407630105743313,0.08511408909815284
2021-04-27,9171,701,7956,635,0.07643659361029331,0.0798139768728004
